mensagem,imagem
"🔥 MAIS VENDIDO! 📦 Ar-condicionado Split Samsung Inverter Windfree Connect Ai 18.000 Btus Quente E Frio Sem Vento Ar18dxfaawknaz  💰 De: R$3.299 🔻 Por: R$3.099 💸 6% OFF 💳 em 12x R$258,25 sem juros 📦   👉 https://mercadolivre.com/sec/2jLuiZ6","imagens\arcondicionado_split_samsung_inverter_windfree_con.jpg"
"🔥 MAIS VENDIDO! 📦 Notebook Lenovo Ideapad 1 Intel Core I3 1215u 8gb Ram 256gb Ssd Windows 11 Home Tela 15,6  82vy000sbr  💰 De: R$3.998 🔻 Por: R$2.287 💸 42% OFF no Pix 💳 ou R$2.599 em 12x R$216,58 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/18UC352","imagens\notebook_lenovo_ideapad_1_intel_core_i3_1215u_8gb_.jpg"
"🔥 OFERTA! 📦 Samsung Galaxy A25 5g Dual Sim 128gb Azul Escuro 6gb Ram  💰 De: R$1.570 🔻 Por: R$1.099 💸 30% OFF 💳 em 12x R$91,58 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1sUrkfJ","imagens\samsung_galaxy_a25_5g_dual_sim_128gb_azul_escuro_6.jpg"
"🔥 OFERTA! 📦 Kit 4 Calças Jeans Masculina Trabalho Atacado Reforçada  💰 De: R$329,90 🔻 Por: R$181,44 💸 45% OFF 💳 em 6x R$30,24 sem juros 📦 Frete grátis  👉 ⚠️ Este URL não é permitido pelo Programa.","imagens\kit_4_calas_jeans_masculina_trabalho_atacado_refor.jpg"
"🔥 OFERTA! 📦 Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook  💰 De: R$6.499 🔻 Por: R$4.799 💸 26% OFF 💳 em 12x R$399,92 sem juros 📦 Frete grátis  👉 ⚠️ Este URL não é permitido pelo Programa.","imagens\notebook_gamer_lenovo_loqe_ci5_rtx3050_512gb_16gb_.jpg"
"🔥 OFERTA! 📦 Câmera Inteligente Full Hd Im3 C Mibo Cam Wifi Branca Intelbras  💰 De: R$399 🔻 Por: R$245 💸 38% OFF 💳 em 12x R$24,13 📦 Frete grátis  👉 ⚠️ Este URL não é permitido pelo Programa.","imagens\cmera_inteligente_full_hd_im3_c_mibo_cam_wifi_bran.jpg"
"🔥 MAIS VENDIDO! 📦 Kit 2câmera Ip Icsee Prova D'água Infravermelho Externa Wifi - Bahrein  💰 De: R$339 🔻 Por: R$203 💸 40% OFF 💳 em 12x R$19,99 📦 Frete grátis  👉 https://mercadolivre.com/sec/1HKEkuG","imagens\kit_2cmera_ip_icsee_prova_dgua_infravermelho_exter.jpg"
"🔥 OFERTA RELÂMPAGO! 📦 Escada Multifuncional De Alumínio 4x4 Com 16 Degraus Dobrável E Articulada Botafogo  Leve E Resistente  💰 De: R$579,90 🔻 Por: R$521,55 💸 10% OFF no Pix ou Saldo no Mercado Pago 💳 ou R$549 em 6x R$91,50 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/24r6Q4d","imagens\escada_multifuncional_de_alumnio_4x4_com_16_degrau.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv Philco 40 P40saa Led Android 11 Tv Hdr10 Dolby Audio  💰 De: R$1.855 🔻 Por: R$1.282 💸 30% OFF no Pix 💳 ou R$1.322 em 12x R$110,21 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/227d8xa","imagens\smart_tv_philco_40_p40saa_led_android_11_tv_hdr10_.jpg"
"🔥 OFERTA DO DIA! 📦 Jogo De Lençol Queen 3 Peças 400 Fios C/ Elástico Hotel  💰 De: R$58,88 🔻 Por: R$32,55 💸 44% OFF 💳 em 12x R$3,20 📦 Frete grátis  👉 https://mercadolivre.com/sec/1T23JdY","imagens\jogo_de_lenol_queen_3_peas_400_fios_c_elstico_hote.jpg"
"🔥 MAIS VENDIDO! 📦 Ar-condicionado Split Samsung Inverter Windfree Connect Ai 12.000 Btus Quente E Frio Sem Vento Ar12dxfaawknaz  💰 De: R$2.519 🔻 Por: R$2.389 💸 5% OFF 💳 em 12x R$199,08 sem juros 📦   👉 https://mercadolivre.com/sec/2kcU1L2","imagens\arcondicionado_split_samsung_inverter_windfree_con.jpg"
"🔥 OFERTA! 📦 Celular Samsung Galaxy A56 5g 128gb 8gb Ram Preto  💰 De: R$2.855 🔻 Por: R$1.833 💸 35% OFF no Pix 💳 ou R$2.037 em 12x R$169,75 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2P2Rptc","imagens\celular_samsung_galaxy_a56_5g_128gb_8gb_ram_preto.jpg"
"🔥 OFERTA RELÂMPAGO! 📦 Bermuda Dupla Masculina Compreensão 2 Em 1 Short Esporte  💰 De: R$54,90 🔻 Por: R$35,90 💸 34% OFF 💳 em 12x R$3,53 📦 Frete grátis  👉 https://mercadolivre.com/sec/2XDapr2","imagens\bermuda_dupla_masculina_compreenso_2_em_1_short_es.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv 32 Philco Android Tv Led Hdr10 P32saa  💰 De: R$1.368 🔻 Por: R$899 💸 34% OFF 💳 em 12x R$86,78 📦 Frete grátis  👉 https://mercadolivre.com/sec/2yqfVoD","imagens\smart_tv_32_philco_android_tv_led_hdr10_p32saa.jpg"
"🔥 MAIS VENDIDO! 📦 Modulo Taramps Ts400x4 Amplificador Som Automotivo 400w 2 Ohms Digital 400rms 4 Canais Entrada Rca Potencia Carro Moto Caminhonete Picapes Suv T400 Ts 400 Watts Estereo, Sub, Falante, Drivers, Tweters  💰 De: R$208,88 🔻 Por: R$154,46 💸 26% OFF no Pix 💳 ou R$181,72 em outros meios 📦 Frete grátis  👉 https://mercadolivre.com/sec/1huczF3","imagens\modulo_taramps_ts400x4_amplificador_som_automotivo.jpg"
"🔥 MAIS VENDIDO! 📦 Console Playstation® 5 Slim Edição Digital 1tb Branco - Sony  💰 De: R$4.933 🔻 Por: R$3.649 💸 26% OFF 💳 em 12x R$304,08 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1pEQ5uy","imagens\console_playstation_5_slim_edio_digital_1tb_branco.jpg"
"🔥 MAIS VENDIDO! 📦 Samsung Galaxy A15 4g Dual Sim 128 Gb Azul-claro 4 Gb Ram  💰 De: R$1.498 🔻 Por: R$795 💸 46% OFF 💳 em 12x R$66,25 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2TPKc4B","imagens\samsung_galaxy_a15_4g_dual_sim_128_gb_azulclaro_4_.jpg"
"🔥 MAIS VENDIDO! 📦 Kit 5 Camiseta Manga Longa Masculina Slim Algodão 30.1 Zaroc  💰 De: R$134,51 🔻 Por: R$73,98 💸 45% OFF 💳 em 12x R$7,27 📦 Frete grátis  👉 https://mercadolivre.com/sec/29xn3o8","imagens\kit_5_camiseta_manga_longa_masculina_slim_algodo_3.jpg"
"🔥 OFERTA! 📦 Tênis Flyer Runner Mesh Bdp Puma  💰 De: R$329,99 🔻 Por: R$215,99 💸 34% OFF 💳 em 6x R$36 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1AMN8Vr","imagens\tnis_flyer_runner_mesh_bdp_puma.jpg"
"🔥 OFERTA RELÂMPAGO! 📦 Camera De Seguranca Wi-fi 360 1080p Full Hd Tapo C200 V2  💰 De: R$219,90 🔻 Por: R$189 💸 14% OFF 💳 em 6x R$31,50 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1gHzGpF","imagens\camera_de_seguranca_wifi_360_1080p_full_hd_tapo_c2.jpg"
"🔥 MAIS VENDIDO! 📦 Samsung Galaxy A05s 128gb Dual Sim Tela Infinita De 6,7'' Cor Prata 6gb Ram  💰 De: R$1.099 🔻 Por: R$701,10 💸 36% OFF no Pix 💳 ou R$779 em 12x R$64,92 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2R65Eac","imagens\samsung_galaxy_a05s_128gb_dual_sim_tela_infinita_d.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv Samsung 55 Crystal Uhd 4k 55du8000 2024  💰 De: R$5.846 🔻 Por: R$2.812 💸 51% OFF no Pix ou Saldo no Mercado Pago 💳 ou R$2.899 em 12x R$241,58 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1DUScxv","imagens\smart_tv_samsung_55_crystal_uhd_4k_55du8000_2024.jpg"
"🔥 MAIS VENDIDO! 📦 Parafusadeira E Furadeira De Impacto 3/8  Wap K21 Id02 2000 Mah  💰 De: R$398,47 🔻 Por: R$199,40 💸 49% OFF no Pix 💳 ou R$209,90 em outros meios 📦 Frete grátis  👉 https://mercadolivre.com/sec/2XLRZiM","imagens\parafusadeira_e_furadeira_de_impacto_38_wap_k21_id.jpg"
"🔥 OFERTA! 📦 Kit 3 Camiseta Manga Longa Masculina Slim Algodão 30.1 Zaroc  💰 De: R$78,99 🔻 Por: R$43,44 💸 45% OFF 💳 em 12x R$4,27 📦 Frete grátis  👉 https://mercadolivre.com/sec/15Z3LjW","imagens\kit_3_camiseta_manga_longa_masculina_slim_algodo_3.jpg"
"🔥 MAIS VENDIDO! 📦 Creatina Monohidratada Pura 500g Dark Lab Unidade  💰 De: R$115 🔻 Por: R$58,69 💸 48% OFF 💳 em 12x R$5,77 📦 Frete grátis  👉 https://mercadolivre.com/sec/2Eb2ghh","imagens\creatina_monohidratada_pura_500g_dark_lab_unidade.jpg"
"🔥 MAIS VENDIDO! 📦 Bicicleta Spinning Com Roda De Inércia De 13kg Wct Fitness Cor Preto  💰 De: R$2.290 🔻 Por: R$1.628 💸 28% OFF 💳 em 12x R$135,69 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2rd6fey","imagens\bicicleta_spinning_com_roda_de_inrcia_de_13kg_wct_.jpg"
"🔥 OFERTA! 📦 Smartphone Samsung Galaxy A05s 4g 128gb 6gb Ram Câmera Traseira Tripla 50mp + 2mp + 2mp + Selfie 13mp Tela 6.7  Preto  💰 De: R$1.099 🔻 Por: R$701,10 💸 36% OFF no Pix 💳 ou R$779 em 12x R$64,92 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/241F6Ew","imagens\smartphone_samsung_galaxy_a05s_4g_128gb_6gb_ram_cm.jpg"
"🔥 OFERTA RELÂMPAGO! 📦 Tênis Casual Feminino Carina Puma *oferta*  💰 De: R$399,99 🔻 Por: R$212,20 💸 46% OFF 💳 em 4x R$53,05 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1iCB4ov","imagens\tnis_casual_feminino_carina_puma_oferta.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv 43 Philco Android Tv Full Hd Borda Infinita P43eaa  💰 De: R$1.998 🔻 Por: R$1.444 💸 27% OFF no Pix 💳 ou R$1.489 em 12x R$124,08 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1mQKz8B","imagens\smart_tv_43_philco_android_tv_full_hd_borda_infini.jpg"
"🔥 OFERTA RELÂMPAGO! 📦 Escada Multifuncional De Alumínio 4x3 - 13 Em 1  Dobrável E Com 12 Degraus Antiderrapantes  Segurança E Praticidade - Botafogo  💰 De: R$529,90 🔻 Por: R$483,55 💸 8% OFF no Pix ou Saldo no Mercado Pago 💳 ou R$509 em 8x R$63,62 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1myxGxK","imagens\escada_multifuncional_de_alumnio_4x3_13_em_1_dobrv.jpg"
"🔥 MAIS VENDIDO! 📦 Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, Até 4.4ghz, 8 Mb L3 Cache), Windows 11 Home, 8gb, 256gb Ssd, Uhd Graphics, 15.6'' Full Hd Led, 1.55kg  💰 De: R$4.499 🔻 Por: R$2.899 💸 35% OFF 💳 em 12x R$241,58 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/12mdxrw","imagens\notebook_samsung_galaxy_book4_intel_u300_120_ghz_a.jpg"
"🔥 MAIS VENDIDO! 📦 Creatina Monohidratada 500g Soldiers Nutrition Sabor Natural  💰 De: R$129,90 🔻 Por: R$51,20 💸 60% OFF no Pix 💳 ou R$56,89 em outros meios 📦 Frete grátis  👉 https://mercadolivre.com/sec/1udWY9a","imagens\creatina_monohidratada_500g_soldiers_nutrition_sab.jpg"
"🔥 MAIS VENDIDO! 📦 Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Claro  💰 De: R$1.099 🔻 Por: R$679,15 💸 38% OFF no Pix ou Saldo no Mercado Pago 💳 ou R$799 em 12x R$66,58 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/33XMGtF","imagens\smartphone_motorola_moto_g15_128gb_12gb_4gb_ram8gb.jpg"
"🔥 OFERTA! 📦 Kit 10 Marmita Pote Vidro Hermético Vidro Tampa Trava 340ml  💰 De: R$149,90 🔻 Por: R$116,32 💸 22% OFF 💳 em 12x R$11,44 📦 Frete grátis  👉 https://mercadolivre.com/sec/12muMVL","imagens\kit_10_marmita_pote_vidro_hermtico_vidro_tampa_tra.jpg"
"🔥 OFERTA DO DIA! 📦 Jogo Kit Pontas Brocas 103 Peças Bosch Em Titânio Com Maleta  💰 De: R$338,31 🔻 Por: R$198 💸 41% OFF 💳 em 12x R$19,50 📦 Frete grátis  👉 https://mercadolivre.com/sec/22W7kMm","imagens\jogo_kit_pontas_brocas_103_peas_bosch_em_titnio_co.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv Samsung U8100f Crystal Uhd 4k 2025 43 Preto  💰 De: R$2.399 🔻 Por: R$2.094 💸 12% OFF no Pix ou Saldo no Mercado Pago 💳 ou R$2.159 em 12x R$179,92 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1dWpkNt","imagens\smart_tv_samsung_u8100f_crystal_uhd_4k_2025_43_pre.jpg"
"🔥 MAIS VENDIDO! 📦 Kit Com 10 Cuecas Boxer Algodão Cotton Masculina Adulto Mash  💰 De: R$310,30 🔻 Por: R$152,91 💸 50% OFF no Pix 💳 ou R$169,90 em outros meios 📦 Chegará grátis amanhã  👉 https://mercadolivre.com/sec/2ddPcV3","imagens\kit_com_10_cuecas_boxer_algodo_cotton_masculina_ad.jpg"
"🔥 MAIS VENDIDO! 📦 Conjunto Com 3 Bowls Tigelas Inox E Tampa Plástica Electrolux  💰 De: R$130,77 🔻 Por: R$123,41 💸 5% OFF 💳 em 12x R$12,13 📦 Chegará grátis amanhã  👉 https://mercadolivre.com/sec/318oTPt","imagens\conjunto_com_3_bowls_tigelas_inox_e_tampa_plstica_.jpg"
"🔥 OFERTA! 📦 Smartphone Motorola Moto G35 5g - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Grafite - Vegan Leather  💰 De: R$1.427 🔻 Por: R$826,32 💸 42% OFF no Pix 💳 ou R$939 em 12x R$78,25 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2Ht47Ly","imagens\smartphone_motorola_moto_g35_5g_128gb_12gb_4gb_ram.jpg"
"🔥 MAIS VENDIDO! 📦 Conjunto Canetas Marcador Canetinha Ponta Dupla 60 Cores Kit  💰 De: R$192,20 🔻 Por: R$78,80 💸 59% OFF 💳 em 12x R$7,75 📦 Frete grátis  👉 https://mercadolivre.com/sec/2myL9qg","imagens\conjunto_canetas_marcador_canetinha_ponta_dupla_60.jpg"
"🔥 MAIS VENDIDO! 📦 Parafusadeira Furadeira De Impacto The Black Tools Profissional Tb-21px 2 Baterias Com Maleta 60hz Amarelo  💰 De: R$413,85 🔻 Por: R$249 💸 39% OFF 💳 em 6x R$41,50 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1JinJKG","imagens\parafusadeira_furadeira_de_impacto_the_black_tools.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa Webos  💰 De: R$1.498 🔻 Por: R$966,60 💸 35% OFF no Pix ou Saldo no Mercado Pago 💳 ou R$1.074 em outros meios 📦 Chegará grátis amanhã  👉 https://mercadolivre.com/sec/2iekQPq","imagens\smart_tv_32_lg_hd_32lr600bpsa_processador_5_ger6_a.jpg"
"🔥 MAIS VENDIDO! 📦 Cadeira Escritório Presidente Encosto De Cabeça Giratoria  💰 De: R$399 🔻 Por: R$299,25 💸 25% OFF 💳 em 6x R$49,88 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2inurTS","imagens\cadeira_escritrio_presidente_encosto_de_cabea_gira.jpg"
"🔥 OFERTA! 📦 Super Promoção Protein Crisp Bar Caixa C/ 12 Integralmedica  💰 De: R$106,90 🔻 Por: R$73,43 💸 31% OFF 💳 em 12x R$7,22 📦 Frete grátis  👉 https://mercadolivre.com/sec/2CaSNJu","imagens\super_promoo_protein_crisp_bar_caixa_c_12_integral.jpg"
"🔥 OFERTA! 📦 Celular Samsung Galaxy A16, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Cinza  💰 De: R$1.855 🔻 Por: R$1.134 💸 38% OFF no Pix 💳 ou R$1.289 em 12x R$107,42 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2SkM51Y","imagens\celular_samsung_galaxy_a16_256gb_8gb_ram_cmera_de_.jpg"
"🔥 MAIS VENDIDO! 📦 Micro-ondas Electrolux 31l Cor Inox Espelhado Com Painel Integrado E Função Tira Odor Mi41s  💰 De: R$896,68 🔻 Por: R$835,05 💸 6% OFF no Pix ou Saldo no Mercado Pago 💳 ou R$879 em 12x R$73,25 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1ZyDq3d","imagens\microondas_electrolux_31l_cor_inox_espelhado_com_p.jpg"
"🔥 MAIS VENDIDO! 📦 Taiff Black Ion Secador De Cabelo Profissional 2000w Cor Preto  💰 De: R$444,28 🔻 Por: R$236,62 💸 46% OFF no Pix 💳 ou R$249,07 em outros meios 📦 Frete grátis  👉 https://mercadolivre.com/sec/2kReLjG","imagens\taiff_black_ion_secador_de_cabelo_profissional_200.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv 32 Philco Ptv32m9gacgb Led Android Tv Dolby Audio  💰 De: R$1.499 🔻 Por: R$930 💸 37% OFF 💳 em 12x R$77,50 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1YATiRo","imagens\smart_tv_32_philco_ptv32m9gacgb_led_android_tv_dol.jpg"
"🔥 OFERTA! 📦 Bicicleta Aro 29 Aço Carbono Ksvj Freios Disco Suspensão 21v  💰 De: R$998,80 🔻 Por: R$706,26 💸 29% OFF no Pix 💳 ou R$784,73 em 12x R$65,39 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1JMdZdY","imagens\bicicleta_aro_29_ao_carbono_ksvj_freios_disco_susp.jpg"
"🔥 MAIS VENDIDO! 📦 Aparelho De Medir Pressão Arterial Monitor Automático  💰 De: R$94,27 🔻 Por: R$52,79 💸 44% OFF 💳 em 2x R$26,40 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1DctFcF","imagens\aparelho_de_medir_presso_arterial_monitor_automtic.jpg"
"🔥 OFERTA DO DIA! 📦 Samsung Galaxy A05s 128gb Dual Sim Tela Infinita De 6,7'' Cor Violeta 6gb Ram  💰 De: R$1.141 🔻 Por: R$755,53 💸 33% OFF no Pix 💳 ou R$778,90 em 12x R$64,91 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2QLTkNB","imagens\samsung_galaxy_a05s_128gb_dual_sim_tela_infinita_d.jpg"
"🔥 OFERTA DO DIA! 📦 Fogão 4 Bocas Acendimento Automático Bfo4nbb Brastemp Cor Branco  💰 De: R$1.449 🔻 Por: R$1.149 💸 20% OFF 💳 em 7x R$164,14 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1HaNBXy","imagens\fogo_4_bocas_acendimento_automtico_bfo4nbb_brastem.jpg"
"🔥 MAIS VENDIDO! 📦 Penteadeira Ditália Pe80 Com Kit Luz Branco Cor Branco  💰 De: R$969,90 🔻 Por: R$759,90 💸 21% OFF 💳 em 12x R$63,32 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2wn9j6H","imagens\penteadeira_ditlia_pe80_com_kit_luz_branco_cor_bra.jpg"
"🔥 MAIS VENDIDO! 📦 Smart Tv Samsung Un50du7700gxzd 50  4k Crystal  💰 De: R$3.427 🔻 Por: R$2.155 💸 37% OFF no Pix 💳 ou R$2.449 em 12x R$204,08 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/229voLZ","imagens\smart_tv_samsung_un50du7700gxzd_50_4k_crystal.jpg"
"🔥 MAIS VENDIDO! 📦 Creatina Monohidratada Pura 1kg Dark Lab Unidade Sem Sabor  💰 De: R$194,32 🔻 Por: R$119 💸 38% OFF 💳 em 12x R$11,70 📦 Frete grátis  👉 https://mercadolivre.com/sec/1WdepAZ","imagens\creatina_monohidratada_pura_1kg_dark_lab_unidade_s.jpg"
"🔥 OFERTA! 📦 Tênis Lite Racer 4.0 adidas  💰 De: R$299,99 🔻 Por: R$200,69 💸 33% OFF no Pix 💳 ou R$222,99 em 6x R$37,16 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/1KRdUuq","imagens\tnis_lite_racer_40_adidas.jpg"
"🔥 OFERTA! 📦 Celular Samsung Galaxy A16, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Preto  💰 De: R$1.855 🔻 Por: R$1.134 💸 38% OFF no Pix 💳 ou R$1.289 em 12x R$107,42 sem juros 📦 Frete grátis  👉 https://mercadolivre.com/sec/2rYsg9D","imagens\celular_samsung_galaxy_a16_256gb_8gb_ram_cmera_de_.jpg"
"🔥 OFERTA! 📦 Ar Condicionado Split Hq Hi Wall Inverter 12.000 Btu/h Frio Monofásico Branco Hq-inv12000fh  💰 De: R$2.099 🔻 Por: R$1.699 💸 19% OFF 💳 em 12x R$141,58 sem juros 📦   👉 https://mercadolivre.com/sec/11mxLaK","imagens\ar_condicionado_split_hq_hi_wall_inverter_12000_bt.jpg"
"🔥 OFERTA! 📦 Kit Livro De Colorir Bobbie Goods Oficial + Canetas Marcador Permanente Ponta Dupla 120 Pontas 60 Cores  💰 De: R$229 🔻 Por: R$160,30 💸 30% OFF 💳 em 12x R$15,76 📦 Frete grátis  👉 https://mercadolivre.com/sec/1CibS5Y","imagens\kit_livro_de_colorir_bobbie_goods_oficial_canetas_.jpg"
"🔥 MAIS VENDIDO! 📦 Aparador De Pelos Philips Oneblade Qp1424/10 Na Cor Cinza Chumbo -  💰 De: R$213,20 🔻 Por: R$155,95 💸 26% OFF 💳 em 12x R$15,33 📦 Frete grátis  👉 https://mercadolivre.com/sec/2f69fVA","imagens\aparador_de_pelos_philips_oneblade_qp142410_na_cor.jpg"
